date,state,fips,cases,deaths
2020-09-09,Alabama,01,134417,2285
2020-09-09,Alaska,02,6735,39
2020-09-09,Arizona,04,206548,5253
2020-09-09,Arkansas,05,66406,928
2020-09-09,California,06,749196,13990
2020-09-09,Colorado,08,60291,1984
2020-09-09,Connecticut,09,53871,4474
2020-09-09,Delaware,10,18308,609
2020-09-09,District of Columbia,11,14387,615
2020-09-09,Florida,12,652140,12114
2020-09-09,Georgia,13,270624,5987
2020-09-09,Guam,66,2727,21
2020-09-09,Hawaii,15,10097,90
2020-09-09,Idaho,16,34707,406
2020-09-09,Illinois,17,256614,8457
2020-09-09,Indiana,18,103641,3397
2020-09-09,Iowa,19,71594,1204
2020-09-09,Kansas,20,48388,497
2020-09-09,Kentucky,21,57518,1058
2020-09-09,Louisiana,22,155890,5140
2020-09-09,Maine,23,4734,134
2020-09-09,Maryland,24,114070,3816
2020-09-09,Massachusetts,25,123143,9146
2020-09-09,Michigan,26,119952,6889
2020-09-09,Minnesota,27,81920,1921
2020-09-09,Mississippi,28,87805,2623
2020-09-09,Missouri,29,98259,1752
2020-09-09,Montana,30,8499,122
2020-09-09,Nebraska,31,36917,434
2020-09-09,Nevada,32,72317,1414
2020-09-09,New Hampshire,33,7517,433
2020-09-09,New Jersey,34,196779,16009
2020-09-09,New Mexico,35,26268,813
2020-09-09,New York,36,445881,32611
2020-09-09,North Carolina,37,180061,2990
2020-09-09,North Dakota,38,14114,161
2020-09-09,Northern Mariana Islands,69,59,2
2020-09-09,Ohio,39,132965,4324
2020-09-09,Oklahoma,40,65929,863
2020-09-09,Oregon,41,28474,499
2020-09-09,Pennsylvania,42,146058,7882
2020-09-09,Puerto Rico,72,35507,500
2020-09-09,Rhode Island,44,22676,1062
2020-09-09,South Carolina,45,126213,2942
2020-09-09,South Dakota,46,15571,173
2020-09-09,Tennessee,47,164032,1908
2020-09-09,Texas,48,675149,13986
2020-09-09,Utah,49,55730,428
2020-09-09,Vermont,50,1656,58
2020-09-09,Virgin Islands,78,1197,18
2020-09-09,Virginia,51,129289,2697
2020-09-09,Washington,53,81529,2067
2020-09-09,West Virginia,54,11808,254
2020-09-09,Wisconsin,55,88643,1193
2020-09-09,Wyoming,56,4151,42
